UNIT REFERENCE,,,TALENT SLOT,,,,MECHANICAL EFFECT,,,,OBSERVABLE SIGNATURES,,,,TRACKING,,
valkyrie,Valkyrie,,4,Fixed,15,Ragnarok,"When a Chosen One is lost, all Valkyries of the maximum merge rank call down a heavenly strike against the first monster, dealing 30% of the Valkyrie's guaranteed critical damage in the area. The damage depends on the unit's merge rank. After 150 runes, all Valkyries have their chance of dealing critical damage increased by 5%.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,1,L,9,Blood Saturation,"The Vampire can now bite any units of the same merge rank or lower. When bitten, the target unit becomes empowered for 15s, increasing its damage to monsters bitten by 15% for every rank of the Vampire that bit it. After 2 biting, the Vampire cannot bite units for 20s; with rank increase, the time decreases by 1s.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,1,R,9,Blood Rage,"The Vampire can now bite any units of the same merge rank or lower. When bitten, the target unit loses a merge rank, and the Vampire becomes empowered for 20s. When the unit starts attacking the first target, the unit's damage and attack speed increase by 300%, and it also deals 100% area damage.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,2,L,11,Hungry Swarm,"When biting a unit, the Vampire releases a flock of bats that fly over all monsters, dealing damage equal to 1% of the monster's current health and draining mana equal to 10% of the cost of the bitten monsters.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,2,R,11,Unbearable Thirst,"When biting a unit, the Vampire sends a bat to an opponent's unit, infecting it with vampirism for 6s. The player dealing the effect steals 30% mana from each monster killed by an infected unit. When the effect expires, there is a 20% chance of transmitting the effect to a random unit.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,3,L,13,Poisonous Bite,The Vampire's damage becomes poison damage. All bitten monsters take poison damage increased by 35%.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,3,R,13,Blood Bond,"The armor of bitten monsters decreases by 10% and by another 10% for each empowered unit, but cannot be decreased by more than 30%.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
vampire,Vampire,,4,Fixed,15,Becoming a Lord,"Once every 20s, a random Vampire will become a Lord. When a unit is bitten, the Lord raises a big Wight in front of the opponent's first monster. The Wight speeds up neighboring monsters by 20%. Once the Wight is summoned, the Vampire loses the Lord status. In Co-Op mode, the Wight appears at the start of the path and slows down the monsters.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
witch,Witch,,1,L,9,Cruel Joke,The Witch releases 1 additional curse/charm. The additional curse will disappear 4 seconds after impact.,,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
witch,Witch,,1,R,9,Gift of the Raven,"The Witch stops cursing/enchanting units. Instead, every merge buffs nearby units for 4% of the damage increase effect. The strength of the effect is increased by 25% for each merge rank of the Witch. The bonus stacks up to 30 times.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
witch,Witch,,2,L,11,Polymorph,"A Witch with 3 merge rank and above will transform into a random unit every 25 seconds, activating her merge effect.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
witch,Witch,,2,R,11,Unstable Magic,Witches of merge rank 3 and higher will attack 1 additional target and receive a 2% chance of instantly killing common monsters.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
witch,Witch,,3,L,13,Magic Circle,"At the start of a battle, the Witch will create a magic circle tile on the player's field. Merging units within the circle will grant 100 mana and 40% of the summoning cost, and then the circle will be transferred. The circle is also randomly transferred at the end of each wave.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
witch,Witch,,3,R,13,Circle of Curses,"At the start of the battle, the Witch creates a cursed circle on one tile of the opponent's field in PvP or the ally's field in Co-Op. Units located within the circle receive 60% healing effect in PvP and 60% damage increase effect in Co-Op and single player modes.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
witch,Witch,,4,Fixed,15,Witchfire,"The witches start to heal monsters on the opponent's path when merging in PvP, or inflict damage as a percentage of current health in Co-Op and single player modes. Healing and damage are equal to 10% and increase with merge rank by 30% of the base value.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,1,L,9,Clone Army,"Increases the maximum number of clones in a cyclone to 6 and summons them when a clone appears on the field. Upon attaining 30 Feat Charges, clone and cyclone damage is increased by 40%. Tapping a clone of merge rank 2+ will destroy it and summon more clones of merge rank 1. Their number is equal to the clone's merge rank minus 1.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,1,R,9,Wind Dance,"Original Wukong's damage is increased by 200%, and he begins spinning his staff and attacking only in an area around himself. Clones no longer create cyclones, but the genuine Wukong can swap places with clones of any rank. A clone has a 15% chance to spawn with a banana; moving Wukong to such a clone will grant Feat Charges.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,2,L,11,Elixir of Life,Merging clones has a 100% chance of purifying Wukong or a clone. Priority is given to the genuine one.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,2,R,11,Immortality Path,"Now, every 7 Feat Charges grants a merge rank to the genuine Wukong.",,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,3,L,13,Heavy Strike,Cyclones and Wukong in the Wind Dance reduce the target's armor by 0.5% per hit (maximum 30%).,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,3,R,13,The King's Retinue,The damage dealt by Wukong and clones is increased by 8% for each clone on the field (maximum 40%).,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
wukong,Wukong,,4,Fixed,15,The Wrath of the King,Wukongs have their critical strike chance increased by 5%. Cyclones and Wukong in the Wind Dance deal 5% more damage.,,,15,,,,No,Needs Review,In-game screenshot,2026-04-07
zealot,Zealot,,1,L,9,Pillar of Frost,"When the Zealot receives mana on a neighboring tile he has a 30% chance of summoning a force of light, dealing area damage equal to its attack and 30% of its current mana (maximum 10000). Force of light slows monsters by 25%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
zealot,Zealot,,1,R,9,Pillar of Mana,"When the Zealot receives mana on a neighboring tile he has a 30% chance of summoning a force of light, dealing area damage equal to its attack and 30% of its current mana (maximum 10000). Force of light increases mana from monsters by 10%.",,,10,,,,Yes,Complete,In-game screenshot,2026-04-07
zealot,Zealot,,2,L,11,Asceticism,Increases damage when there is 3000 mana available by 20%.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
zealot,Zealot,,2,R,11,Penance,Increases damage when there is 10000 mana available by 30%.,,,12,,,,Yes,Complete,In-game screenshot,2026-04-07
zealot,Zealot,,3,L,13,Surge of Faith,When the Zealot receives mana on a neighboring tile he has a 35% probability of increasing his attack speed by 40% for 5 seconds.,,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
zealot,Zealot,,3,R,13,Piety,"When the Zealot receives mana on a neighboring tile he has a 35% probability of receiving a relic of righteousness, which increases his damage by 3 point(s) for each relic. The number of relics must not be more than 100.",,,14,,,,Yes,Complete,In-game screenshot,2026-04-07
zealot,Zealot,,4,Fixed,15,Fanaticism,"When surrounded by other Zealots diagonally, takes the form of an Archon. In this form his attacks summon a force of light with a 4% chance. Getting mana in a neighbouring tile has a 35% chance to increase the Zealots' critical chance for 4% (+50% per merge rank), lasting 4 seconds.",,,15,,,,No,Complete,In-game screenshot,2026-04-07
